BRANCH_TYPE	BRANCH_CODE	CLIENT_DB	CLIENT_HOST
AROCAK	5501	pos	M{BRANCH_CODE}_01
AROCAK	5505	pos	M{BRANCH_CODE}_01
AROCAK	5508	pos	M{BRANCH_CODE}_01
AROCAK	5509	pos	M{BRANCH_CODE}_01
AROCAK	5510	pos	M{BRANCH_CODE}_01
AROCAK	5513	pos	M{BRANCH_CODE}_01
AROCAK	5514	pos	M{BRANCH_CODE}_01
AROCAK	5515	pos	M{BRANCH_CODE}_01
AROCAK	5519	pos	M{BRANCH_CODE}_01
AROCAK	5522	pos	M{BRANCH_CODE}_01
AROCAK	5523	pos	M{BRANCH_CODE}_01
AROCAK	5526	pos	M{BRANCH_CODE}_01
AROCAK	5527	pos	M{BRANCH_CODE}_01
AROCAK	5528	pos	M{BRANCH_CODE}_01
AROCAK	5530	pos	M{BRANCH_CODE}_01
AROCAK	5531	pos	M{BRANCH_CODE}_01
AROCAK	5533	pos	M{BRANCH_CODE}_01
AROCAK	5534	pos	M{BRANCH_CODE}
AROCAK	5535	pos	M{BRANCH_CODE}_01
AROCAK	5538	pos	M{BRANCH_CODE}_01
AROCAK	5539	pos	M{BRANCH_CODE}_01
AROCAK	5542	pos	M{BRANCH_CODE}_01
AROCAK	5544	pos	M{BRANCH_CODE}_01
AROCAK	5546	pos	M{BRANCH_CODE}_01
AROCAK	5548	pos	M{BRANCH_CODE}_01
AROCAK	5549	pos	M{BRANCH_CODE}_01
AROCAK	5550	pos	M{BRANCH_CODE}_01
AROCAK	5553	pos	M{BRANCH_CODE}_01
AROCAK	5555	pos	M{BRANCH_CODE}_01
AROCAK	5559	pos	M{BRANCH_CODE}_01
AROCAK	5561	pos	M{BRANCH_CODE}_01
AROCAK	5562	pos	M{BRANCH_CODE}_01
AROCAK	5563	pos	M{BRANCH_CODE}_01
AROCAK	5564	pos	M{BRANCH_CODE}_01
AROCAK	5566	pos	M{BRANCH_CODE}_01
AROCAK	5567	pos	M{BRANCH_CODE}_01
AROCAK	5569	pos	M{BRANCH_CODE}_01
AROCAK	5570	pos	M{BRANCH_CODE}_01
AROCAK	5571	pos	M{BRANCH_CODE}_01
AROCAK	5572	pos	M{BRANCH_CODE}_01
AROCAK	5573	pos	M{BRANCH_CODE}_01
AROCAK	5574	pos	M{BRANCH_CODE}_01
AROCAK	5575	pos	M{BRANCH_CODE}_01
AROCAK	5576	pos	M{BRANCH_CODE}_01
AROCAK	5577	pos	M{BRANCH_CODE}_01
AROCAK	5578	pos	M{BRANCH_CODE}_01
AROCAK	5579	pos	M{BRANCH_CODE}_01
AROCAK	5580	pos	M{BRANCH_CODE}_01
AROCAK	5581	pos	M{BRANCH_CODE}_01
AROCAK	5582	pos	M{BRANCH_CODE}_01
AROCAK	5583	pos	M{BRANCH_CODE}_01
AROCAK	5584	pos	M{BRANCH_CODE}_01
AROCAK	5585	pos	M{BRANCH_CODE}_01
AROCAK	5586	pos	M{BRANCH_CODE}_01
AROCAK	5587	pos	M{BRANCH_CODE}_01
AROCAK	5631	pos	M{BRANCH_CODE}_01
AROCAK	5632	pos	M{BRANCH_CODE}_01
AROCAK	5633	pos	M{BRANCH_CODE}_01
AROCAK	5634	pos	M{BRANCH_CODE}_01
AROCAK	5635	pos	M{BRANCH_CODE}_01
AROCAK	5636	pos	M{BRANCH_CODE}_01
AROCAK	5637	pos	M{BRANCH_CODE}_01
AROCAK	5638	pos	M{BRANCH_CODE}_01
AROCAK	5639	pos	M{BRANCH_CODE}_01
AROCAK	5640	pos	M{BRANCH_CODE}_01
AROCAK	5641	pos	M{BRANCH_CODE}_01
AROCAK	5642	pos	M{BRANCH_CODE}_01
AROCAK	5643	pos	M{BRANCH_CODE}_01
AROCAK	5644	pos	M{BRANCH_CODE}_01
AROCAK	5645	pos	M{BRANCH_CODE}_01
AROCAK	5646	pos	M{BRANCH_CODE}_01
AROCAK	5647	pos	M{BRANCH_CODE}_01
AROCAK	5648	pos	M{BRANCH_CODE}_01
AROCAK	5650	pos	M{BRANCH_CODE}_01
AROCAK	5651	pos	M{BRANCH_CODE}_01
AROCAK	5652	pos	M{BRANCH_CODE}_01
AROCAK	5653	pos	M{BRANCH_CODE}_01
AROCAK	5654	pos	M{BRANCH_CODE}_01
AROCAK	5655	pos	M{BRANCH_CODE}_01
AROCAK	5656	pos	M{BRANCH_CODE}_01
AROCAK	5657	pos	M{BRANCH_CODE}_01
AROCAK	5658	pos	M{BRANCH_CODE}_01
AROCAK	5660	pos	M{BRANCH_CODE}_01
AROCAK	5687	pos	M{BRANCH_CODE}_01
