BRANCH_TYPE	BRANCH_CODE	CLIENT_DB	CLIENT_HOST
SBSSBS	4447	pos	M{BRANCH_CODE}
SBSSBS	4674	pos	M{BRANCH_CODE}
SBSSBS	4677	pos	M{BRANCH_CODE}
SBMSBM	4103	pos	M{BRANCH_CODE}
SBMSBM	4104	pos	M{BRANCH_CODE}
SBMSBM	4106	pos	M{BRANCH_CODE}
SBMSBM	4107	pos	M{BRANCH_CODE}
SBMSBM	4108	pos	M{BRANCH_CODE}
SBSSBS	4678	pos	M{BRANCH_CODE}
SBMSBM	4109	pos	M{BRANCH_CODE}
SBMSBM	4110	pos	M{BRANCH_CODE}
SBMSBM	4111	pos	M{BRANCH_CODE}
SBMSBM	4112	pos	M{BRANCH_CODE}
SBMSBM	4113	pos	M{BRANCH_CODE}
SBMSBM	4114	pos	M{BRANCH_CODE}
SBMSBM	4115	pos	M{BRANCH_CODE}
SBMSBM	4116	pos	M{BRANCH_CODE}
SBMSBM	4117	pos	M{BRANCH_CODE}
SBSSBS	4302	pos	M{BRANCH_CODE}
SBSSBS	4303	pos	M{BRANCH_CODE}
SBSSBS	4308	pos	M{BRANCH_CODE}
SBSSBS	4312	pos	M{BRANCH_CODE}
SBSSBS	4313	pos	M{BRANCH_CODE}
SBSSBS	4320	pos	M{BRANCH_CODE}
SBSSBS	4326	pos	M{BRANCH_CODE}
SBSSBS	4334	pos	M{BRANCH_CODE}
SBSSBS	4335	pos	M{BRANCH_CODE}
SBSSBS	4336	pos	M{BRANCH_CODE}
SBSSBS	4340	pos	M{BRANCH_CODE}
SBSSBS	4341	pos	M{BRANCH_CODE}
SBSSBS	4342	pos	M{BRANCH_CODE}
SBSSBS	4343	pos	M{BRANCH_CODE}
SBSSBS	4344	pos	M{BRANCH_CODE}
SBSSBS	4345	pos	M{BRANCH_CODE}
SBSSBS	4380	pos	M{BRANCH_CODE}
SBSSBS	4381	pos	M{BRANCH_CODE}
SBSSBS	4382	pos	M{BRANCH_CODE}
SBSSBS	4383	pos	M{BRANCH_CODE}
SBSSBS	4384	pos	M{BRANCH_CODE}
SBSSBS	4385	pos	M{BRANCH_CODE}
SBSSBS	4386	pos	M{BRANCH_CODE}
SBSSBS	4387	pos	M{BRANCH_CODE}
SBSSBS	4388	pos	M{BRANCH_CODE}
SBSSBS	4389	pos	M{BRANCH_CODE}
SBSSBS	4390	pos	M{BRANCH_CODE}
SBSSBS	4391	pos	M{BRANCH_CODE}
SBSSBS	4392	pos	M{BRANCH_CODE}
SBSSBS	4393	pos	M{BRANCH_CODE}
SBSSBS	4394	pos	M{BRANCH_CODE}
SBSSBS	4396	pos	M{BRANCH_CODE}
SBSSBS	4397	pos	M{BRANCH_CODE}
SBSSBS	4398	pos	M{BRANCH_CODE}
SBSSBS	4399	pos	M{BRANCH_CODE}
SBSSBS	4401	pos	M{BRANCH_CODE}
SBSSBS	4402	pos	M{BRANCH_CODE}
SBSSBS	4403	pos	M{BRANCH_CODE}
SBSSBS	4404	pos	M{BRANCH_CODE}
SBSSBS	4405	pos	M{BRANCH_CODE}
SBSSBS	4406	pos	M{BRANCH_CODE}
SBSSBS	4407	pos	M{BRANCH_CODE}
SBSSBS	4408	pos	M{BRANCH_CODE}
SBSSBS	4409	pos	M{BRANCH_CODE}
SBSSBS	4410	pos	M{BRANCH_CODE}
SBSSBS	4411	pos	M{BRANCH_CODE}
SBSSBS	4412	pos	M{BRANCH_CODE}
SBSSBS	4413	pos	M{BRANCH_CODE}
